id_cliente,endereco_cliente,regiao,latitude,longitude,tipo_servico_demandado,frequencia_demanda,valor_estimado_servico,veiculo,ano_veiculo
1,"Av. Santo Amaro, 1650 - Jardins, São Paulo - SP",Jardins,-23.58870679055942,-46.67392063963406,Pintura,Anual,710.88,Hyundai HB20,2020
2,"Av. Sumaré, 1834 - Jardins, São Paulo - SP",Jardins,-23.58823104729144,-46.67140665387356,Suspensão,Trimestral,569.4,Mercedes-Benz C180,2024
3,"Rua Pamplona, 1078 - Jardins, São Paulo - SP",Jardins,-23.56088285541347,-46.67364957154739,Elétrica,Semestral,630.02,Land Rover Evoque,2019
4,"Av. Sumaré, 220 - Jardins, São Paulo - SP",Jardins,-23.566854667030487,-46.6724651689898,Troca de Óleo,Anual,838.62,BMW 320i,2018
5,"Rua da Consolação, 1115 - Jardins, São Paulo - SP",Jardins,-23.568190900329345,-46.66538378167415,Suspensão,Anual,815.36,Land Rover Evoque,2024
6,"Rua Pamplona, 304 - Jardins, São Paulo - SP",Jardins,-23.55362711746333,-46.68004581849722,Freios,Trimestral,810.06,Volkswagen Golf,2018
7,"Rua Teodoro Sampaio, 741 - Jardins, São Paulo - SP",Jardins,-23.554464705752782,-46.68016845811644,Alinhamento,Anual,629.3,Volvo XC40,2023
8,"Av. Ibirapuera, 635 - Jardins, São Paulo - SP",Jardins,-23.566560618421494,-46.659125327357096,Elétrica,Trimestral,961.1,Jeep Renegade,2022
9,"Av. Paulista, 1702 - Jardins, São Paulo - SP",Jardins,-23.58254280797575,-46.6722898856174,Pintura,Trimestral,977.21,BMW 320i,2024
10,"Av. Rebouças, 1747 - Jardins, São Paulo - SP",Jardins,-23.581795968984544,-46.66425611231553,Elétrica,Mensal,676.56,Land Rover Evoque,2018
11,"Rua Augusta, 1112 - Jardins, São Paulo - SP",Jardins,-23.56018430394716,-46.65599145045961,Balanceamento,Anual,619.71,Volvo XC40,2025
12,"Av. Santo Amaro, 1138 - Jardins, São Paulo - SP",Jardins,-23.574800067164485,-46.66768463005484,Suspensão,Mensal,629.99,Honda Civic,2019
13,"Av. Sumaré, 1538 - Jardins, São Paulo - SP",Jardins,-23.553668793581704,-46.6684060818809,Funilaria,Trimestral,624.48,Renault Kwid,2022
14,"Rua Pamplona, 237 - Jardins, São Paulo - SP",Jardins,-23.563514366632624,-46.66333357635785,Pintura,Trimestral,552.86,Audi A3,2021
15,"Av. Sumaré, 1585 - Jardins, São Paulo - SP",Jardins,-23.580763658139077,-46.67720642316679,Alinhamento,Mensal,610.03,Toyota Corolla,2019
16,"Rua da Consolação, 1716 - Jardins, São Paulo - SP",Jardins,-23.57420796099386,-46.66489951513,Suspensão,Semestral,674.18,Audi A3,2018
17,"Av. Rebouças, 1119 - Jardins, São Paulo - SP",Jardins,-23.5627242201997,-46.65885758106454,Funilaria,Mensal,550.26,Honda Civic,2022
18,"Rua Teodoro Sampaio, 841 - Jardins, São Paulo - SP",Jardins,-23.581086325005746,-46.66930181507323,Pintura,Semestral,986.86,BMW 320i,2018
19,"Rua Teodoro Sampaio, 417 - Jardins, São Paulo - SP",Jardins,-23.575435979591308,-46.67523406355437,Ar Condicionado,Anual,586.98,Ford Focus,2018
20,"Rua Vergueiro, 775 - Jardins, São Paulo - SP",Jardins,-23.569337347737914,-46.666778211864795,Freios,Anual,788.31,Honda Civic,2020
21,"Av. Santo Amaro, 1615 - Jardins, São Paulo - SP",Jardins,-23.571568768032268,-46.67081727903195,Alinhamento,Mensal,549.93,BMW 320i,2024
22,"Rua Vergueiro, 865 - Jardins, São Paulo - SP",Jardins,-23.571488480554976,-46.674612760977524,Motor,Mensal,677.37,Volvo XC40,2018
23,"Rua Pamplona, 1788 - Jardins, São Paulo - SP",Jardins,-23.54150203925024,-46.68416311561596,Suspensão,Anual,504.27,Mercedes-Benz C180,2018
24,"Rua Teodoro Sampaio, 1790 - Jardins, São Paulo - SP",Jardins,-23.57045841316466,-46.641926257204595,Funilaria,Semestral,982.29,Volvo XC40,2023
25,"Av. Sumaré, 190 - Jardins, São Paulo - SP",Jardins,-23.574142081837568,-46.68496543958262,Ar Condicionado,Semestral,990.45,Land Rover Evoque,2023
